,urban,gender,age,hand,voted,married,familysize,points,result
208,3,2,39,1,1,2,1,46,complotist
209,2,1,23,1,2,1,2,43,complotist
210,2,2,19,1,2,1,3,25,Not complotist
211,2,2,39,1,2,3,4,35,Not complotist
212,3,2,13,1,2,1,2,39,Not complotist
213,3,1,21,1,1,1,2,48,complotist
214,1,1,28,1,2,1,2,20,Not complotist
215,3,1,63,1,2,2,3,37,Not complotist
216,1,2,17,2,2,1,5,40,complotist
217,1,1,25,1,2,1,3,70,complotist
218,2,1,55,1,1,3,4,75,complotist
219,2,1,38,1,1,2,2,31,Not complotist
220,3,3,15,1,2,1,2,44,complotist
221,3,1,33,1,2,1,2,63,complotist
222,3,1,18,1,2,1,2,59,complotist
223,2,1,24,1,2,1,3,66,complotist
224,3,1,25,1,2,1,3,53,complotist
225,2,2,32,1,2,2,2,21,Not complotist
226,1,2,38,1,2,2,6,57,complotist
227,3,1,26,2,1,1,2,35,Not complotist
228,2,1,15,1,2,1,2,36,Not complotist
229,1,1,16,1,2,1,4,47,complotist
230,1,2,20,1,2,1,3,61,complotist
231,2,1,17,1,2,1,1,43,complotist
232,2,2,13,1,2,1,3,20,Not complotist
233,3,0,57,1,2,3,4,33,Not complotist
234,2,3,25,1,1,1,3,44,complotist
235,2,1,23,1,2,1,1,46,complotist
236,3,2,20,1,2,1,2,64,complotist
237,2,2,48,1,1,2,4,42,complotist
238,1,2,16,1,2,1,1,24,Not complotist
239,3,2,18,1,2,1,2,60,complotist
240,2,2,17,1,2,1,2,27,Not complotist
241,3,1,22,2,1,1,2,55,complotist
242,2,1,32,1,2,1,6,33,Not complotist
243,3,2,18,1,1,1,1,61,complotist
244,2,2,16,3,2,1,3,63,complotist
245,1,1,18,2,2,1,2,55,complotist
246,3,3,13,1,2,1,0,59,complotist
247,3,1,48,1,2,1,3,15,Not complotist
248,2,3,17,1,2,1,4,38,Not complotist
249,2,2,36,1,0,1,4,23,Not complotist
250,2,1,26,2,2,1,2,41,complotist
251,1,2,16,2,2,1,5,53,complotist
252,3,1,62,1,1,2,1,20,Not complotist
253,3,1,34,1,1,2,2,75,complotist
